file,line,kind,type,lhs,placement_new,bare_stmt,code
ho/G2_Page_Network.cpp,21,new,,,False,True,#include <new>                   // std::nothrow — for LensUiJob/RedrawSpec allocation
ho/G2_Page_Network.cpp,940,new,RedrawSpec,spec,True,False,RedrawSpec* spec = new (std::nothrow) RedrawSpec{};
ho/G2_Page_Network.cpp,947,new,LensUiJob,job,True,False,LensUiJob* job = new (std::nothrow) LensUiJob{};
ho/G2_Page_TestSuite.cpp,1058,heap_caps_malloc,,,False,True,"heap_caps_malloc(sizeof(ImgProbeTaskCtx), MALLOC_CAP_INTERNAL | MALLOC_CAP_8BIT));"
ho/G2_Page_TestSuite.cpp,1067,heap_caps_malloc,,,False,True,"heap_caps_malloc(kStackBytes, MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT));"
ho/G2_Page_TestSuite.cpp,1068,heap_caps_malloc,,,False,True,ctx->tcb = static_cast<StaticTask_t*>(heap_caps_malloc(
ho/G2_Ring.cpp,625,new,BLEAdvertisedDevice,gRingAdvertisedDevice,False,False,gRingAdvertisedDevice = new BLEAdvertisedDevice(advertisedDevice);
ho/G2_Ring.cpp,766,new,RingClientCallbacks,,False,True,gRing.client->setClientCallbacks(new RingClientCallbacks());
ho/HAL_Display.cpp,64,new,Adafruit_SSD1306,gDisplay,False,False,"gDisplay = new Adafruit_SSD1306(DISPLAY_WIDTH, DISPLAY_HEIGHT, oledWire, DISPLAY_RESET_PIN);"
ho/HAL_Display.cpp,91,new,Adafruit_ST7789,gDisplay,False,False,"gDisplay = new Adafruit_ST7789(DISPLAY_SPI_CS, DISPLAY_SPI_DC, DISPLAY_SPI_RST);"
ho/HAL_Display.cpp,117,new,Adafruit_ILI9341,gDisplay,False,False,"gDisplay = new Adafruit_ILI9341(DISPLAY_SPI_CS, DISPLAY_SPI_DC, DISPLAY_SPI_RST);"
ho/HardwareOne.cpp,752,malloc,,captureBuf,False,False,captureBuf = (char*)malloc(CAPTURE_BUF_SIZE);
ho/HardwareOne.cpp,1213,new,WifiNetwork,,True,True,new (&gWifiNetworks[i]) WifiNetwork();
ho/HardwareOne.cpp,1428,new,SessionEntry,,True,True,new (&gSessions[i]) SessionEntry();
ho/HardwareOne.cpp,1441,new,LogoutReason,,True,True,new (&gLogoutReasons[i]) LogoutReason();
ho/OLED_Mode_FileBrowser.cpp,518,new,FileManager,gOledFileManager,False,False,gOledFileManager = new FileManager();
ho/OLED_Mode_Map.cpp,894,ps_malloc,,sMapBufA,False,False,sMapBufA = (uint8_t*)ps_malloc(SSD1306_BUF_SIZE);
ho/OLED_Mode_Map.cpp,895,ps_malloc,,sMapBufB,False,False,sMapBufB = (uint8_t*)ps_malloc(SSD1306_BUF_SIZE);
ho/OLED_Mode_Map.cpp,1089,new,OLEDMapRenderer,gOledMapRenderer,False,False,gOledMapRenderer = new OLEDMapRenderer(oledDisplay);
ho/OLED_Mode_Remote.cpp,285,malloc,,bondPickerScroll,False,False,bondPickerScroll = (OLEDScrollState*)malloc(sizeof(OLEDScrollState));
ho/OLED_Mode_Remote.cpp,291,malloc,,,False,True,pickerLabels = (char (*)[24])malloc(16 * 24);
ho/OLED_Mode_UnifiedMenu.cpp,278,ps_calloc,,gSubmenuItems,False,False,"gSubmenuItems = (UnifiedMenuItem*)ps_calloc(maxItems, sizeof(UnifiedMenuItem),"
ho/OLED_Mode_UnifiedMenu.cpp,335,ps_calloc,,gUnifiedMenuItems,False,False,"gUnifiedMenuItems = (UnifiedMenuItem*)ps_calloc(maxItems, sizeof(UnifiedMenuItem),"
ho/OLED_RemoteSettings.cpp,99,strdup,,jsonKey,False,False,entry.jsonKey = strdup(kv.key().c_str());
ho/OLED_RemoteSettings.cpp,100,strdup,,label,False,False,entry.label = strdup(kv.key().c_str());
ho/OLED_RemoteSettings.cpp,114,strdup,,name,False,False,module.name = strdup(displayName.c_str());
ho/OLED_RemoteSettings.cpp,115,strdup,,jsonSection,False,False,module.jsonSection = strdup(dottedPath.c_str());
ho/OLED_RemoteSettings.cpp,178,new,SettingsModule,gRemoteModules,False,False,gRemoteModules = new SettingsModule[moduleCount];
ho/OLED_RemoteSettings.cpp,179,new,SettingEntry,gRemoteEntries,False,False,gRemoteEntries = new SettingEntry[totalEntries];
ho/OLED_Utils.cpp,4196,new,Adafruit_SSD1306,gDisplay,False,False,"gDisplay = new Adafruit_SSD1306(SCREEN_WIDTH, SCREEN_HEIGHT, oledWire, OLED_RESET);"
ho/System_AuthIdentity.cpp,67,new,TaskIdentity,slot,False,False,slot = new TaskIdentity{};
ho/System_Automation.cpp,747,strdup,,,False,True,cmdsList[cmdsCount] = strdup(one.c_str());  // Allocate and copy
ho/System_Automation.cpp,767,strdup,,,False,True,cmdsList[cmdsCount] = strdup(cmd.c_str());  // Allocate and copy
ho/System_Battery.cpp,105,calloc,,adc_chars,False,False,"adc_chars = (esp_adc_cal_characteristics_t*)calloc(1, sizeof(esp_adc_cal_characteristics_t));"
ho/System_Battery.cpp,558,calloc,,adc_chars,False,False,"adc_chars = (esp_adc_cal_characteristics_t*)calloc(1, sizeof(esp_adc_cal_characteristics_t));"
ho/System_Camera_Video.cpp,591,malloc,,buf,False,False,uint8_t* buf = (uint8_t*)malloc(CHUNK);
ho/System_ESPNow.cpp,12,new,,,False,True,#include <new>                       // placement new — construct EspNowState's C++ members
ho/System_ESPNow.cpp,2569,malloc,,buffer,False,False,uint8_t* buffer = (uint8_t*)malloc(totalLen);
ho/System_ESPNow.cpp,4721,malloc,,respPayload,False,False,uint8_t* respPayload = (uint8_t*)malloc(payloadLen);
ho/System_ESPNow.cpp,4899,malloc,,asyncCtx,False,False,V3CmdAsyncCtx* asyncCtx = (V3CmdAsyncCtx*)malloc(sizeof(V3CmdAsyncCtx));
ho/System_ESPNow.cpp,5285,malloc,,sha_ctx,False,False,mbedtls_sha256_context* sha_ctx = (mbedtls_sha256_context*)malloc(sizeof(mbedtls_sha256_context));
ho/System_ESPNow.cpp,8587,new,EspNowState,,True,True,new (gEspNow) EspNowState();
ho/System_ESPNow.cpp,8611,heap_caps_malloc,,streamQueue,False,False,"gEspNow->streamQueue = (EspNowState::StreamQueueEntry*)heap_caps_malloc(sqBytes, MALLOC_CAP_SPIRAM);"
ho/System_ESPNow.cpp,8651,new,PeerMessageHistory,,True,True,new (&gEspNow->peerMessageHistories[i]) PeerMessageHistory();
ho/System_ESPNow.cpp,14566,new,PeerMessageHistory,,True,True,new (&newArray[i]) PeerMessageHistory();
ho/System_ESPNow_Files.cpp,203,heap_caps_malloc,,dataBuffer,False,False,"s.dataBuffer = (uint8_t*)heap_caps_malloc(allocSize, MALLOC_CAP_SPIRAM);"
ho/System_ESPNow_Files.cpp,213,heap_caps_malloc,,chunkMap,False,False,"s.chunkMap = (uint8_t*)heap_caps_malloc(s.chunkMapBytes, MALLOC_CAP_8BIT);"
ho/System_ESPNow_Sensors.cpp,577,ps_malloc,,gBroadcasterBuf,False,False,gBroadcasterBuf = (char*)ps_malloc(maxBuf);
ho/System_ESPSR.cpp,1163,heap_caps_malloc,,gSrSnipRing,False,False,"gSrSnipRing = (int16_t*)heap_caps_malloc(gSrSnipRingSamples * sizeof(int16_t), MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/System_ESPSR.cpp,1165,malloc,,gSrSnipRing,False,False,gSrSnipRing = (int16_t*)malloc(gSrSnipRingSamples * sizeof(int16_t));
ho/System_ESPSR.cpp,1202,heap_caps_malloc,,gSrSnipSessionBuf,False,False,"gSrSnipSessionBuf = (int16_t*)heap_caps_malloc(maxSamples * sizeof(int16_t), MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/System_ESPSR.cpp,1204,malloc,,gSrSnipSessionBuf,False,False,gSrSnipSessionBuf = (int16_t*)malloc(maxSamples * sizeof(int16_t));
ho/System_ESPSR.cpp,1911,heap_caps_malloc,,i2sReadBuf,False,False,"int16_t* i2sReadBuf = (int16_t*)heap_caps_malloc(i2sReadBytes, MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/System_ESPSR.cpp,1914,malloc,,i2sReadBuf,False,False,i2sReadBuf = (int16_t*)malloc(i2sReadBytes);
ho/System_ESPSR.cpp,1917,heap_caps_malloc,,afeFeedBuf,False,False,"int16_t* afeFeedBuf = (int16_t*)heap_caps_malloc(feedChunkBytes, MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/System_ESPSR.cpp,1920,malloc,,afeFeedBuf,False,False,afeFeedBuf = (int16_t*)malloc(feedChunkBytes);
ho/System_ESPSR.cpp,1924,heap_caps_malloc,,ringBuf,False,False,"int16_t* ringBuf = (int16_t*)heap_caps_malloc(ringSamplesCap * sizeof(int16_t), MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/System_ESPSR.cpp,1927,malloc,,ringBuf,False,False,ringBuf = (int16_t*)malloc(ringSamplesCap * sizeof(int16_t));
ho/System_ESPSR.cpp,1930,heap_caps_malloc,,mnInputBuf,False,False,"int16_t* mnInputBuf = (int16_t*)heap_caps_malloc(mnBufBytes, MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/System_ESPSR.cpp,1933,malloc,,mnInputBuf,False,False,mnInputBuf = (int16_t*)malloc(mnBufBytes);
ho/System_EdgeImpulse.cpp,98,strdup,,,False,True,gModelLabels[gModelLabelCount] = strdup(line.c_str());
ho/System_EdgeImpulse.cpp,383,new,tflite::MicroMutableOpResolver,gOpResolver,False,False,gOpResolver = new tflite::MicroMutableOpResolver<20>();
ho/System_EdgeImpulse.cpp,575,new,tflite::MicroInterpreter,gInterpreter,False,False,gInterpreter = new tflite::MicroInterpreter(
ho/System_I2C_Manager.cpp,59,new,I2CDeviceManager,instance,False,False,instance = new I2CDeviceManager();
ho/System_ImageManager.cpp,382,malloc,,buf,False,False,uint8_t* buf = (uint8_t*)malloc(len);
