name,cls,file,line,refs
cmd_blesecret,,ho/Bluetooth.cpp,1500,2
cmd_blesecure,,ho/Bluetooth.cpp,1530,2
cmd_bledisconnect,,ho/Bluetooth.cpp,1566,2
cmd_bleadv,,ho/Bluetooth.cpp,1575,2
cmd_blesend,,ho/Bluetooth.cpp,1603,2
cmd_blestream,,ho/Bluetooth.cpp,1625,2
cmd_bleevent,,ho/Bluetooth.cpp,1723,2
cmd_blename,,ho/Bluetooth.cpp,1745,2
cmd_bletxpower,,ho/Bluetooth.cpp,1778,2
cmd_bleinfo,,ho/Bluetooth.cpp,1815,2
cmd_g2autoconnect,,ho/Bluetooth.cpp,1890,2
cmd_ringautoconnect,,ho/Bluetooth.cpp,1896,2
cmd_blemode,,ho/Bluetooth.cpp,1938,2
buildSensorDataJSON,,ho/Bluetooth.cpp,2247,2
buildSystemStatusJSON,,ho/Bluetooth.cpp,2296,2
ourShutdownEchoActive,,ho/G2_Glasses.cpp,508,2
imageProbeBegin,,ho/G2_Glasses.cpp,637,2
imageProbeEnd,,ho/G2_Glasses.cpp,646,2
firmwareSilencesLeftNotify,,ho/G2_Glasses.cpp,669,2
classifyG2Name,,ho/G2_Glasses.cpp,1005,2
classifyRingName,,ho/G2_Glasses.cpp,1032,2
onResult,,ho/G2_Glasses.cpp,1084,2
ensureMicRecMutex,,ho/G2_Glasses.cpp,1313,2
ensureMicWavMutex,,ho/G2_Glasses.cpp,1362,2
micWavWriteHeader,,ho/G2_Glasses.cpp,1368,2
micWavPatchSizesLocked,,ho/G2_Glasses.cpp,1403,2
micAfeRingPushLocked,,ho/G2_Glasses.cpp,1461,2
micWavWritePacketLocked,,ho/G2_Glasses.cpp,1588,2
subscribeAudioNotify,,ho/G2_Glasses.cpp,1750,2
shouldDedupEvent,,ho/G2_Glasses.cpp,1937,2
handleDevEvent,,ho/G2_Glasses.cpp,2267,2
dispatchEventPayload,,ho/G2_Glasses.cpp,2765,2
evenCoreResIsFailure,,ho/G2_Glasses.cpp,2970,2
evenCoreResBodyField,,ho/G2_Glasses.cpp,2988,2
buildG2StatusBattery,,ho/G2_Glasses.cpp,3411,2
buildEspStatusBattery,,ho/G2_Glasses.cpp,3432,2
buildG2StatusMeter,,ho/G2_Glasses.cpp,3500,2
g2RegisteredPageAt,,ho/G2_Glasses.cpp,3567,2
buildMicReadoutText,,ho/G2_Glasses.cpp,3801,2
renderMicDetailLive,,ho/G2_Glasses.cpp,3828,2
g2BuildMicDetailInfo,,ho/G2_Glasses.cpp,3910,2
renderSensorDetailLive,,ho/G2_Glasses.cpp,4045,2
hijackBootstrapBody,,ho/G2_Glasses.cpp,4168,2
invokePageFromMain,,ho/G2_Glasses.cpp,4270,2
devCfgCmdName,,ho/G2_Glasses.cpp,4547,2
